"","V1","V2"
"191",3011633,65.7121806039489
"192",3011649,64.6288472706156
"193",3011661,65.6288472706156
"194",3011664,67.3788472706156
"195",3011719,68.2121806039489
"196",3011809,69.6739861595045
"197",3011825,70.8024583817267
"198",3011865,70.9215060007743
"199",3011943,70.1774583817267
"200",3011983,68.9024857489954
"201",3012001,69.3920168050636
"202",3012177,70.2517585891012
"203",3012235,71.7100919224345
"204",3012277,72.434229853469
"205",3012293,71.78744387146
"206",3012423,70.6665199584165
"207",3012469,69.9522342441308
"208",3012685,72.5334030752996
"209",3012747,73.6934409540875
"210",3012763,71.8730649378274
"211",3012778,71.330262450979
"212",3012939,71.2779748692796
"213",3013000,69.8613082026129
"214",3013040,67.6390859803907
"215",3013058,66.8890859803907
"216",3013100,67.6495026470574
"217",3013233,67.4099193137241
